genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
DNA2|DNA2L|KIAA0083|PEOA6|SCKL8	DNA2|DNA2|DNA2|NA|NA	DNA2	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6	Autosomal dominant	601810	615156	10	mutation identified in 1 SCKL8 family
DNA2|DNA2L|KIAA0083|PEOA6|SCKL8	DNA2|DNA2|DNA2|NA|NA	DNA2	?Seckel syndrome 8	Autosomal recessive	601810	615807	10	mutation identified in 1 SCKL8 family
MRT8	MRT8	MRT8	Mental retardation, autosomal recessive, 8	None	611094	611094	10	between rs1599711 and rs942793
SPG27	SPG27	SPG27	Spastic paraplegia 27, autosomal recessive	Autosomal recessive	609041	609041	10	between  D10S606 and D10S1758
STOX1|PEE4	STOX1|NA	STOX1	Preeclampsia/eclampsia 4	None	609397	609404	10	NA
KIAA1279	KIAA1279	KIAA1279	Goldberg-Shprintzen megacolon syndrome	Autosomal recessive	609367	609460	10	NA
HK1|HKD|HMSNR	HK1,HOOK1,KCNA4|NA|NA	KCNA4,HK1,HOOK1	Hemolytic anemia due to hexokinase deficiency	Autosomal recessive	142600	235700	10	10p11.2 conflicting assignment; ?2 loci on chr.10
HK1|HKD|HMSNR	HK1,HOOK1,KCNA4|NA|NA	KCNA4,HK1,HOOK1	Neuropathy, hereditary motor and sensory, Russe type	Autosomal recessive	142600	605285	10	10p11.2 conflicting assignment; ?2 loci on chr.10
NEUROG3|NGN3|ATOH5	NEUROG3|NA|NA	NEUROG3	Diarrhea 4, malabsorptive, congenital	Autosomal recessive	604882	610370	10	NA
COL13A1|CMS19	COL13A1|NA	COL13A1	Myasthenic syndrome, congenital, 19	Autosomal recessive	120350	616720	10	~550kb proximal to P4HA
NODAL|HTX5	NODAL|NA	NODAL	Heterotaxy, visceral, 5	Autosomal dominant	601265	270100	10	NA
PRF1|HPLH2|FLH2	PRF1|PRF1|NA	PRF1	Lymphoma, non-Hodgkin	None	170280	605027	10	mistakenly assigned to chr.17
PRF1|HPLH2|FLH2	PRF1|PRF1|NA	PRF1	Hemophagocytic lymphohistiocytosis, familial, 2	Autosomal recessive	170280	603553	10	mistakenly assigned to chr.17
PRF1|HPLH2|FLH2	PRF1|PRF1|NA	PRF1	Aplastic anemia	None	170280	609135	10	mistakenly assigned to chr.17
PCBD1|DCOH	PCBD1|PCBD1	PCBD1	Hyperphenylalaninemia, BH4-deficient, D	Autosomal recessive	126090	264070	10	NA
SLC29A3|ENT3|PHID|HCLAP	SLC29A3|SLC29A3|NA|NA	SLC29A3	Histiocytosis-lymphadenopathy plus syndrome	Autosomal recessive	612373	602782	10	NA
CDH23|USH1D	CDH23|CDH23	CDH23	Usher syndrome, type 1D/F digenic	Digenic recessive; Autosomal recessive	605516	601067	10	between D10S529 and D10S573
CDH23|USH1D	CDH23|CDH23	CDH23	Usher syndrome, type 1D	Digenic recessive; Autosomal recessive	605516	601067	10	between D10S529 and D10S573
CDH23|USH1D	CDH23|CDH23	CDH23	Deafness, autosomal recessive 12	Autosomal recessive	605516	601386	10	between D10S529 and D10S573
PSAP|SAP1	MTCH1,PSAP|DEFB4A,ELK4,PSAP	ELK4,PSAP,DEFB4A,MTCH1	Gaucher disease, atypical	None	176801	610539	10	NA
PSAP|SAP1	MTCH1,PSAP|DEFB4A,ELK4,PSAP	ELK4,PSAP,DEFB4A,MTCH1	Combined SAP deficiency	Autosomal recessive	176801	611721	10	NA
PSAP|SAP1	MTCH1,PSAP|DEFB4A,ELK4,PSAP	ELK4,PSAP,DEFB4A,MTCH1	Metachromatic leukodystrophy due to SAP-b deficiency	Autosomal recessive	176801	249900	10	NA
PSAP|SAP1	MTCH1,PSAP|DEFB4A,ELK4,PSAP	ELK4,PSAP,DEFB4A,MTCH1	Krabbe disease, atypical	Autosomal recessive	176801	611722	10	NA
CHST3|C6ST|C6ST1|HSD	CHST3|CHST1,CHST2,CHST3|CHST3|NA	CHST1,CHST3,CHST2	Spondyloepiphyseal dysplasia with congenital joint dislocations	Autosomal recessive	603799	143095	10	NA
ASCC1|p50|SMABF2	ASCC1|CD40,NFKB1|NA	NFKB1,ASCC1,CD40	?Spinal muscular atrophy with congenital bone fractures 2	Autosomal recessive	614215	616867	10	mutation identified in 1 SMABF2 family
ASCC1|p50|SMABF2	ASCC1|CD40,NFKB1|NA	NFKB1,ASCC1,CD40	Barrett esophagus/esophageal adenocarcinoma	None	614215	614266	10	mutation identified in 1 SMABF2 family
MICU1|CBARA1|MPXPS	MICU1|MICU1|NA	MICU1	Myopathy with extrapyramidal signs	None	605084	615673	10	NA
MRPS16|COXPD2	MRPS16|NA	MRPS16	Combined oxidative phosphorylation deficiency 2	Autosomal recessive	609204	610498	10	NA
PLAU|URK|QPD|BDPLT5	PLAU|PLAU|NA|NA	PLAU	Quebec platelet disorder	Autosomal dominant	191840	601709	10	proximal to HOX11
PLAU|URK|QPD|BDPLT5	PLAU|PLAU|NA|NA	PLAU	Alzheimer disease, late-onset, susceptibility to	Autosomal dominant	191840	104300	10	proximal to HOX11
VCL|CMD1W|CMH15	VCL|NA|NA	VCL	Cardiomyopathy, hypertrophic, 15	None	193065	613255	10	NA
VCL|CMD1W|CMH15	VCL|NA|NA	VCL	Cardiomyopathy, dilated, 1W	None	193065	611407	10	NA
ADK	ADK	ADK	Hypermethioninemia due to adenosine kinase deficiency	Autosomal recessive	102750	614300	10	NA
KAT6B|MYST4|MORF|GTPTS	KAT6B|KAT6B|NA|NA	KAT6B	SBBYSS syndrome	None	605880	603736	10	NA
KAT6B|MYST4|MORF|GTPTS	KAT6B|KAT6B|NA|NA	KAT6B	Genitopatellar syndrome	Autosomal dominant	605880	606170	10	NA
C10orf11|OCA7	C10orf11|C10orf11	C10orf11	Albinism, oculocutaneous, type VII	Autosomal recessive	614537	615179	10	NA
SLEN1	SLEN1	SLEN1	Systemic lupus erythematosus with nephritis, susceptibility to, 1	None	607965	607965	10	NA
KCNMA1|SLO	KCNMA1|KCNMA1	KCNMA1	Generalized epilepsy and paroxysmal dyskinesia	Autosomal dominant	600150	609446	10	NA
POLR3A|RPC1|RPC155|ADDH|HLD7	POLR3A|POLR3A|POLR3A|NA|NA	POLR3A	Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism	Autosomal recessive	614258	607694	10	NA
RPS24|DBA3	RPS24|NA	RPS24	Diamond-blackfan anemia 3	None	602412	610629	10	NA
SFTPA2|SPA2|COLEC5	SFTPA2|NA|SFTPA2	SFTPA2	Pulmonary fibrosis, idiopathic	Autosomal dominant	178642	178500	10	contiguous with SFTPA1
SFTPA1|SFTP1	SFTPA1|SFTPA1	SFTPA1	Pulmonary fibrosis, idiopathic, susceptibility to	Autosomal dominant	178630	178500	10	contiguous with SFTPA2
MAT1A|MATA1|SAMS1	MAT1A|MAT1A|MAT1A	MAT1A	Methionine adenosyltransferase deficiency, autosomal recessive	Autosomal dominant; Autosomal recessive	610550	250850	10	NA
MAT1A|MATA1|SAMS1	MAT1A|MAT1A|MAT1A	MAT1A	Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency	Autosomal dominant; Autosomal recessive	610550	250850	10	NA
CDHR1|PCDH21|PRCAD|CORD15|RP65	CDHR1|CDHR1|NA|CDHR1|CDHR1	CDHR1	Retinitis pigmentosa 65	Autosomal recessive	609502	613660	10	NA
CDHR1|PCDH21|PRCAD|CORD15|RP65	CDHR1|CDHR1|NA|CDHR1|CDHR1	CDHR1	Cone-rod dystrophy 15	Autosomal recessive	609502	613660	10	NA
RGR|RP44	RGR|RGR	RGR	Retinitis pigmentosa 44	None	600342	613769	10	NA
LDB3|ZASP|CYPHER|KIAA01613|MFM4|CMD1C|CMH24|LVNC3	LDB3|LDB3|NA|NA|NA|LDB3|NA|NA	LDB3	Cardiomyopathy, hypertrophic, 24	Autosomal dominant	605906	601493	10	NA
LDB3|ZASP|CYPHER|KIAA01613|MFM4|CMD1C|CMH24|LVNC3	LDB3|LDB3|NA|NA|NA|LDB3|NA|NA	LDB3	Cardiomyopathy, dilated, 1C, with or without LVNC	Autosomal dominant	605906	601493	10	NA
LDB3|ZASP|CYPHER|KIAA01613|MFM4|CMD1C|CMH24|LVNC3	LDB3|LDB3|NA|NA|NA|LDB3|NA|NA	LDB3	Myopathy, myofibrillar, 4	Autosomal dominant	605906	609452	10	NA
LDB3|ZASP|CYPHER|KIAA01613|MFM4|CMD1C|CMH24|LVNC3	LDB3|LDB3|NA|NA|NA|LDB3|NA|NA	LDB3	Left ventricular noncompaction 3	Autosomal dominant	605906	601493	10	NA
BMPR1A|ACVRLK3|ALK3	BMPR1A|BMPR1A|BMPR1A	BMPR1A	Polyposis, juvenile intestinal	Autosomal dominant	601299	174900	10	NA
BMPR1A|ACVRLK3|ALK3	BMPR1A|BMPR1A|BMPR1A	BMPR1A	Polyposis syndrome, hereditary mixed, 2	None	601299	610069	10	NA
BMPR1A|ACVRLK3|ALK3	BMPR1A|BMPR1A|BMPR1A	BMPR1A	Juvenile polyposis syndrome, infantile form	Autosomal dominant	601299	174900	10	NA
GLUD1	GLUD1	GLUD1	Hyperinsulinism-hyperammonemia syndrome	Autosomal dominant	138130	606762	10	pseudogene on Xq26-q28
MINPP1|HIPER1	MINPP1|NA	MINPP1	Thyroid carcinoma, follicular	Autosomal dominant	605391	188470	10	NA
PAPSS2|ATPSK2|BCYM4	PAPSS2|PAPSS2|NA	PAPSS2	Brachyolmia 4 with mild epiphyseal and metaphyseal changes	Autosomal recessive	603005	612847	10	NA
KLLN|CWS4	KLLN|NA	KLLN	Cowden syndrome 4	None	612105	615107	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Bannayan-Riley-Ruvalcaba syndrome	Autosomal dominant	601728	153480	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Malignant melanoma, somatic	None	601728	155600	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Meningioma	Autosomal dominant	601728	607174	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Macrocephaly/autism syndrome	Autosomal dominant	601728	605309	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Glioma susceptibility 2	None	601728	613028	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Lhermitte-Duclos syndrome	Autosomal dominant	601728	158350	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	VATER association with macrocephaly and ventriculomegaly	Autosomal recessive	601728	276950	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Endometrial carcinoma, somatic	None	601728	608089	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Squamous cell carcinoma, head and neck, somatic	None	601728	275355	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Cowden syndrome 1	Autosomal dominant	601728	158350	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	PTEN hamartoma tumor syndrome	None	601728	NA	10	NA
PTEN|MMAC1|GLM2|CWS1	PTEN|PTEN|NA|NA	PTEN	Prostate cancer, somatic	None	601728	176807	10	NA
LIPN|LIPL4|ARCI8|LI4	LIPN|LIPN|NA|NA	LIPN	Ichthyosis, congenital, autosomal recessive 8	Autosomal recessive	613924	613943	10	NA
ACTA2|ACTSA|AAT6|MYMY5	ACTA2|ACTA2|NA|NA	ACTA2	Moyamoya disease 5	None	102620	614042	10	NA
ACTA2|ACTSA|AAT6|MYMY5	ACTA2|ACTA2|NA|NA	ACTA2	Aortic aneurysm, familial thoracic 6	None	102620	611788	10	NA
ACTA2|ACTSA|AAT6|MYMY5	ACTA2|ACTA2|NA|NA	ACTA2	Multisystemic smooth muscle dysfunction syndrome	Autosomal dominant	102620	613834	10	NA
FAS|TNFRSF6|APT1|CD95|ALPS1A	FAS,FASN|FAS|FAS|FAS|NA	FAS,FASN	Autoimmune lymphoproliferative syndrome	Autosomal dominant	134637	601859	10	NA
FAS|TNFRSF6|APT1|CD95|ALPS1A	FAS,FASN|FAS|FAS|FAS|NA	FAS,FASN	Squamous cell carcinoma, burn scar-related, somatic	None	134637	NA	10	NA
FAS|TNFRSF6|APT1|CD95|ALPS1A	FAS,FASN|FAS|FAS|FAS|NA	FAS,FASN	Autoimmune lymphoproliferative syndrome, type IA	Autosomal dominant	134637	601859	10	NA
LIPA|CESD	LIPA,SCGB1D1|LIPA	LIPA,SCGB1D1	Wolman disease	Autosomal recessive	613497	278000	10	?close to GOT
LIPA|CESD	LIPA,SCGB1D1|LIPA	LIPA,SCGB1D1	Cholesteryl ester storage disease	Autosomal recessive	613497	278000	10	?close to GOT
SLC16A12|MCT12|CJMG	SLC16A12|SLC16A12|NA	SLC16A12	Cataract, juvenile, with microcornea and glucosuria	None	611910	612018	10	NA
KIF11|KNSL1|MCLMR	KIF11|KIF11|NA	KIF11	Microcephaly with or without chorioretinopathy, lymphedema, or mental retardation	Autosomal dominant	148760	152950	10	NA
CYP26C1|FFDD4	CYP26C1|NA	CYP26C1	Focal facial dermal dysplasia 4	Autosomal recessive	608428	614974	10	NA
FFAR4|O3FAR1|GPR120|PGR4|BMIQ10	FFAR4|FFAR4|FFAR4|FFAR4|NA	FFAR4	Obesity, susceptibility to	None	609044	607514	10	NA
RBP4|RDCCAS|MCOPCB10	POLR2D,RBP4|NA|NA	POLR2D,RBP4	Microphthalmia, isolated, with coloboma 10	Autosomal dominant	180250	616428	10	just centromeric of CYP2C cluster
RBP4|RDCCAS|MCOPCB10	POLR2D,RBP4|NA|NA	POLR2D,RBP4	Retinal dystrophy, iris coloboma, and comedogenic acne syndrome	Autosomal recessive	180250	615147	10	just centromeric of CYP2C cluster
PDE6C|PDEA2|COD4	PDE6C|PDE6C|PDE6C	PDE6C	Cone dystrophy 4	Autosomal recessive	600827	613093	10	NA
LGI1|EPT|ETL1|ADLTE|ADPEAF	LGI1|LGI1|LGI1,SMARCAD1|NA|NA	SMARCAD1,LGI1	Epilepsy, familial temporal lobe, 1	Autosomal dominant	604619	600512	10	NA
PLCE1|KIAA1516|NPHS3	PLCE1|PLCE1|PLCE1	PLCE1	Nephrotic syndrome, type 3	Autosomal recessive	608414	610725	10	NA
HELLS|LSH|ICF4	HELLS|HELLS,SLC11A1|NA	HELLS,SLC11A1	Immunodeficiency-centromeric instability-facial anomalies syndrome 4	None	603946	616911	10	NA
CYP2C|CYP2C19	CYP2C18,CYP2C19|CYP2C19	CYP2C19,CYP2C18	Proguanil poor metabolizer	Autosomal recessive	124020	609535	10	4 genes in order: cen-C18-C19-C9-C8-tel
CYP2C|CYP2C19	CYP2C18,CYP2C19|CYP2C19	CYP2C19,CYP2C18	Omeprazole poor metabolizer	Autosomal recessive	124020	609535	10	4 genes in order: cen-C18-C19-C9-C8-tel
CYP2C|CYP2C19	CYP2C18,CYP2C19|CYP2C19	CYP2C19,CYP2C18	Mephenytoin poor metabolizer	Autosomal recessive	124020	609535	10	4 genes in order: cen-C18-C19-C9-C8-tel
CYP2C|CYP2C19	CYP2C18,CYP2C19|CYP2C19	CYP2C19,CYP2C18	Clopidogrel, impaired responsiveness to	Autosomal recessive	124020	609535	10	4 genes in order: cen-C18-C19-C9-C8-tel
CYP2C9	CYP2C9	CYP2C9	Warfarin sensitivity	Autosomal dominant	601130	122700	10	NA
CYP2C9	CYP2C9	CYP2C9	Tolbutamide poor metabolizer	None	601130	NA	10	NA
CYP2C8	CYP2C8	CYP2C8	Rhabdomyolysis, cerivastatin-induced	None	601129	NA	10	NA
SHFM3|SHSF3|DUP10q24|C10DUPq24	FBXW4|NA|NA|NA	FBXW4	Split-hand/foot malformation 3, gene duplication syndrome	Autosomal dominant	246560	246560	10	contiguous gene duplication syndrome
ALDH18A1|PYCS|GSAS|ARCL3A|SPG9A|SPG9B|ADCL3	ALDH18A1|ALDH18A1|ALDH18A1|NA|NA|NA|NA	ALDH18A1	Cutis laxa, autosomal dominant 3	Autosomal dominant	138250	616603	10	GOT1 and GSAS in same pathway
ALDH18A1|PYCS|GSAS|ARCL3A|SPG9A|SPG9B|ADCL3	ALDH18A1|ALDH18A1|ALDH18A1|NA|NA|NA|NA	ALDH18A1	Spastic paraplegia 9B, autosomal recessive	Autosomal recessive	138250	616586	10	GOT1 and GSAS in same pathway
ALDH18A1|PYCS|GSAS|ARCL3A|SPG9A|SPG9B|ADCL3	ALDH18A1|ALDH18A1|ALDH18A1|NA|NA|NA|NA	ALDH18A1	Spastic paraplegia 9A, autosomal dominant	Autosomal dominant	138250	601162	10	GOT1 and GSAS in same pathway
ALDH18A1|PYCS|GSAS|ARCL3A|SPG9A|SPG9B|ADCL3	ALDH18A1|ALDH18A1|ALDH18A1|NA|NA|NA|NA	ALDH18A1	Cutis laxa, autosomal recessive, type IIIA	Autosomal recessive; Isolated cases	138250	219150	10	GOT1 and GSAS in same pathway
TCTN3|TECT3|C10orf61|OFD4|JBTS18	TCTN3|TCTN3|TCTN3|NA|TCTN3	TCTN3	Orofaciodigital syndrome IV	Autosomal recessive	613847	258860	10	NA
TCTN3|TECT3|C10orf61|OFD4|JBTS18	TCTN3|TCTN3|TCTN3|NA|TCTN3	TCTN3	Joubert syndrome 18	Autosomal recessive	613847	614815	10	NA
ENTPD1|CD39|SPG64	ENTPD1|ENTPD1|ENTPD1	ENTPD1	Spastic paraplegia 64, autosomal recessive	Autosomal recessive	601752	615683	10	NA
BLNK|SLP65|AGM4	BLNK|BLNK|NA	BLNK	Agammaglobulinemia 4	Autosomal recessive	604515	613502	10	NA
HOGA1|DHDPSL|HP3	HOGA1|HOGA1|NA	HOGA1	Hyperoxaluria, primary, type III	None	613597	613616	10	NA
ZFYVE27|SPG33	ZFYVE27|ZFYVE27	ZFYVE27	Spastic paraplegia 33, autosomal dominant	Autosomal dominant	610243	610244	10	NA
HPS1	HPS1	HPS1	Hermansky-Pudlak syndrome 1	Autosomal recessive	604982	203300	10	NA
HPSE2|HPA2|UFS1	HPSE2|HPSE2|NA	HPSE2	Urofacial syndrome 1	Autosomal recessive	613469	236730	10	NA
GOT1|ASTQTL1	GOLT1A,GOLT1B,GOT1|NA	GOLT1B,GOLT1A,GOT1	Aspartate aminotransferase, serum level of, QTL1	None	138180	614419	10	10q26.1 = conflicting localization
COX15|CEMCOX2	COX15|NA	COX15	Leigh syndrome due to cytochrome c oxidase deficiency	Mitochondrial; Autosomal recessive	603646	256000	10	NA
COX15|CEMCOX2	COX15|NA	COX15	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	Autosomal recessive	603646	615119	10	NA
ABCC2|CMOAT	ABCC2|ABCC2	ABCC2	Dubin-Johnson syndrome	Autosomal recessive	601107	237500	10	NA
CPN1|SCPN|CPN	CPN1,CPNE1,CYP11B1|NA|NA	CYP11B1,CPN1,CPNE1	Carboxypeptidase N deficiency	Autosomal recessive	603103	212070	10	NA
CHUK|IKBKA|NFKBIKA|IKKA|IKK1	CHUK|NA|CHUK|CHUK|CHUK	CHUK	Cocoon syndrome	None	600664	613630	10	NA
CWF19L1|C19L1|SCAR17	CWF19L1|NA|NA	CWF19L1	?Spinocerebellar ataxia, autosomal recessive 17	Autosomal recessive	616120	616127	10	mutation identified in 1 SCAR17 family
PAX2|PAPRS|FSGS7	PAX2|NA|NA	PAX2	Glomerulosclerosis, focal segmental, 7	Autosomal dominant	167409	616002	10	NA
PAX2|PAPRS|FSGS7	PAX2|NA|NA	PAX2	Papillorenal syndrome	Autosomal dominant	167409	120330	10	NA
C10orf2|TWINKLE|PEOA3|IOSCA|MTDPS7|PRLTS5	C10orf2|C10orf2|NA|C10orf2|NA|NA	C10orf2	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3	Autosomal dominant	606075	609286	10	PEO digenic with POLG
C10orf2|TWINKLE|PEOA3|IOSCA|MTDPS7|PRLTS5	C10orf2|C10orf2|NA|C10orf2|NA|NA	C10orf2	Perrault syndrome 5	Autosomal recessive	606075	616138	10	PEO digenic with POLG
C10orf2|TWINKLE|PEOA3|IOSCA|MTDPS7|PRLTS5	C10orf2|C10orf2|NA|C10orf2|NA|NA	C10orf2	Mitochondrial DNA depletion syndrome 7 (hepatocerebral type)	Autosomal recessive	606075	271245	10	PEO digenic with POLG
PDZD7	PDZD7	PDZD7	Usher syndrome, type IIC, GPR98/PDZD7 digenic	Autosomal recessive; Digenic dominant	612971	605472	10	NA
PDZD7	PDZD7	PDZD7	Retinal disease in Usher syndrome type IIA, modifier of	Autosomal recessive	612971	276901	10	NA
FGF8|HH6	FGF8|NA	FGF8	Hypogonadotropic hypogonadism 6 with or without anosmia	None	600483	612702	10	NA
HPS6|RU	HPS6|NA	HPS6	Hermansky-Pudlak syndrome 6	None	607522	614075	10	NA
PITX3|CTPP4|CTRCT11	PITX3|NA|NA	PITX3	Cataract 11, syndromic	Autosomal dominant	602669	610623	10	NA
PITX3|CTPP4|CTRCT11	PITX3|NA|NA	PITX3	Cataract 11, multiple types	Autosomal dominant	602669	610623	10	NA
PITX3|CTPP4|CTRCT11	PITX3|NA|NA	PITX3	Anterior segment mesenchymal dysgenesis	Autosomal dominant	602669	107250	10	NA
NFKB2|LYT10|CVID10	NFKB2|NA|NA	NFKB2	Immunodeficiency, common variable, 10	Autosomal dominant	164012	615577	10	NA
SUFU|SUFUXL|SUFUH	SUFU|SUFU|SUFU	SUFU	Meningioma, familial, susceptibility to	Autosomal dominant	607035	607174	10	NA
SUFU|SUFUXL|SUFUH	SUFU|SUFU|SUFU	SUFU	Medulloblastoma, desmoplastic	Autosomal dominant	607035	155255	10	NA
SUFU|SUFUXL|SUFUH	SUFU|SUFU|SUFU	SUFU	Basal cell nevus syndrome	Autosomal dominant	607035	109400	10	NA
CYP17A1|CYP17|P450C17	CYP17A1|CYP17A1|CYP17A1	CYP17A1	17-alpha-hydroxylase/17,20-lyase deficiency	Autosomal recessive	609300	202110	10	at least 2 genes; distal to GOT1
CYP17A1|CYP17|P450C17	CYP17A1|CYP17A1|CYP17A1	CYP17A1	17,20-lyase deficiency, isolated	Autosomal recessive	609300	202110	10	at least 2 genes; distal to GOT1
CNNM2|ACDP2|HOMG6|HOMGSMR	CNNM2|CNNM2|NA|NA	CNNM2	Hypomagnesemia 6, renal	Autosomal dominant	607803	613882	10	NA
CNNM2|ACDP2|HOMG6|HOMGSMR	CNNM2|CNNM2|NA|NA	CNNM2	Hypomagnesemia, seizures, and mental retardation	Autosomal dominant; Autosomal recessive	607803	616418	10	NA
NT5C2|NT5B|PNT5|SPG45	NT5C2|NT5C2|NT5C2|SPG45	SPG45,NT5C2	Spastic paraplegia 45, autosomal recessive	Autosomal recessive	600417	613162	10	NA
IDDM17	IDDM17	IDDM17	Diabetes mellitus, insulin-dependent, 17	None	603266	603266	10	NA
COL17A1|BPAG2|ERED	COL17A1|COL17A1|NA	COL17A1	Epithelial recurrent erosion dystrophy	Autosomal dominant	113811	122400	10	NA
COL17A1|BPAG2|ERED	COL17A1|COL17A1|NA	COL17A1	Epidermolysis bullosa, junctional, non-Herlitz type	Autosomal recessive	113811	226650	10	NA
COL17A1|BPAG2|ERED	COL17A1|COL17A1|NA	COL17A1	Epidermolysis bullosa, junctional, localisata variant	Autosomal recessive	113811	226650	10	NA
MXI1	MXI1	MXI1	Prostate cancer, susceptibility to	Autosomal dominant	600020	176807	10	NA
MXI1	MXI1	MXI1	Neurofibrosarcoma	None	600020	NA	10	NA
SMC3|CSPG6|HCAP|BAM|CDLS3	SMC3|SMC3|DCD,SMC3|SMC3|NA	SMC3,DCD	Cornelia de Lange syndrome 3	Autosomal dominant	606062	610759	10	NA
RBM20	RBM20	RBM20	Cardiomyopathy, dilated, 1DD	Autosomal dominant	613171	613172	10	NA
BBIP1|NCRNA00081|BBIP10|BBS18	BBIP1|BBIP1|BBIP1|BBIP1	BBIP1	?Bardet-Biedl syndrome 18	Autosomal recessive	613605	615995	10	mutation identified in 1 BBS18 family
SHOC2|SIAA0862|SOC2|SUR8	SHOC2|NA|SHOC2|SHOC2	SHOC2	Noonan-like syndrome with loose anagen hair	Autosomal dominant	602775	607721	10	NA
TCF7L2|TCF4	TCF7L2|TCF4,TCF7L2	TCF4,TCF7L2	Diabetes mellitus, type 2, susceptibility to	Autosomal dominant	602228	125853	10	NA
HABP2|PHBP|HGFAL|FSAP|NMTC5	HABP2|HABP2|HABP2|HABP2|NA	HABP2	Venous thromboembolism, susceptibility to	Autosomal dominant	603924	188050	10	mutation identified in 1 NMTC5 family
HABP2|PHBP|HGFAL|FSAP|NMTC5	HABP2|HABP2|HABP2|HABP2|NA	HABP2	?Thyroid cancer, nonmedullary, 5	Autosomal dominant	603924	616535	10	mutation identified in 1 NMTC5 family
ADRB1|ADRB1R|RHR	ADRB1|ADRB1|NA	ADRB1	Congestive heart failure and beta-blocker response, modifier of	None	109630	NA	10	close linkage to ADRA2R
ADRB1|ADRB1R|RHR	ADRB1|ADRB1|NA	ADRB1	Resting heart rate	None	109630	607276	10	close linkage to ADRA2R
PNLIP|PNLIPD	PNLIP|NA	PNLIP	Pancreatic lipase deficiency	Autosomal recessive	246600	614338	10	NA
VAX1|MCOPS11	VAX1|NA	VAX1	?Microphthalmia, syndromic 11	Autosomal recessive	604294	614402	10	mutation identified in one MCOPS11 family
KCNK18|TRESK|TRIK|MGR13	KCNK18|KCNK18|KCNK18|NA	KCNK18	Migraine, with or without aura, susceptibility to, 13	None	613655	613656	10	NA
CORD17	CORD17	CORD17	Cone-rod dystrophy 17	Autosomal dominant	615163	615163	10	between D10S1757 and D10S1782
EMX2	EMX2	EMX2	Schizencephaly	None	600035	269160	10	close to VAX1
NANOS1|NOS1|SPGF12	NANOS1|NANOS1,NOS1|NA	NANOS1,NOS1	Spermatogenic failure 12	Autosomal dominant	608226	615413	10	NA
SFXN4|COXPD18	SFXN4|NA	SFXN4	Combined oxidative phosphorylation deficiency 18	Autosomal recessive	615564	615578	10	NA
BAG3|MFM6	BAG3|NA	BAG3	Myopathy, myofibrillar, 6	Autosomal dominant	603883	612954	10	NA
BAG3|MFM6	BAG3|NA	BAG3	Cardiomyopathy, dilated, 1HH	Autosomal dominant	603883	613881	10	NA
WDR11|DR11|KIAA1351|BRWD2|HH14	PHIP,WDR11|WDR11|WDR11|PHIP,WDR11|WDR11	WDR11,PHIP	Hypogonadotropic hypogonadism 14 with or without anosmia	Autosomal dominant	606417	614858	10	NA
FGFR2|BEK|CFD1|JWS|TK14|BBDS	FGFR2|FGFR2|FGFR2,NUBP2|FGFR2|FGFR2|NA	NUBP2,FGFR2	Pfeiffer syndrome	Autosomal dominant	176943	101600	10	NA
FGFR2|BEK|CFD1|JWS|TK14|BBDS	FGFR2|FGFR2|FGFR2,NUBP2|FGFR2|FGFR2|NA	NUBP2,FGFR2	Craniofacial-skeletal-dermatologic dysplasia	Autosomal dominant	176943	101600	10	NA
FGFR2|BEK|CFD1|JWS|TK14|BBDS	FGFR2|FGFR2|FGFR2,NUBP2|FGFR2|FGFR2|NA	NUBP2,FGFR2	LADD syndrome	Autosomal dominant	176943	149730	10	NA
FGFR2|BEK|CFD1|JWS|TK14|BBDS	FGFR2|FGFR2|FGFR2,NUBP2|FGFR2|FGFR2|NA	NUBP2,FGFR2	Bent bone dysplasia syndrome	Autosomal dominant	176943	614592	10	NA
